iter	Passed	Remaining
268	797	2168
269	800	2163
270	801	2155
271	803	2150
272	805	2145
273	808	2141
274	810	2136
275	812	2131
276	814	2126
277	816	2121
278	819	2117
279	821	2112
280	824	2108
281	826	2104
282	829	2100
283	831	2096
284	834	2093
285	837	2089
286	840	2087
287	843	2085
288	846	2082
289	848	2076
290	849	2070
291	852	2067
292	855	2064
293	858	2061
294	861	2058
295	864	2057
296	869	2057
297	871	2052
298	873	2048
299	876	2044
300	878	2039
301	881	2036
302	883	2032
303	884	2025
304	887	2022
305	890	2019
306	892	2015
307	895	2012
308	899	2010
309	901	2007
310	904	2004
311	907	2001
312	910	1998
313	913	1995
314	915	1990
315	918	1987
316	920	1982
317	922	1979
318	926	1977
319	928	1973
320	931	1970
321	934	1967
322	936	1963
323	939	1959
324	943	1959
325	944	1953
326	947	1949
327	949	1946
328	951	1941
329	954	1937
330	957	1934
331	959	1931
332	966	1935
333	969	1932
334	973	1933
335	977	1931
336	988	1943
337	990	1940
338	994	1938
339	996	1933
340	1002	1937
341	1005	1934
342	1010	1934
343	1013	1933
344	1017	1932
345	1020	1929
346	1024	1927
347	1027	1925
348	1032	1925
349	1041	1934
350	1046	1934
351	1051	1936
352	1054	1933
353	1057	1930
354	1062	1931
355	1066	1930
356	1070	1927
357	1073	1924
358	1077	1924
359	1080	1921
360	1084	1919
361	1087	1917
362	1092	1917
363	1095	1914
364	1099	1913
365	1103	1911
366	1109	1913
367	1114	1913
368	1117	1910
369	1121	1910
370	1126	1909
371	1129	1906
372	1132	1903
373	1134	1899
374	1137	1895
375	1140	1892
376	1142	1888
377	1144	1883
378	1147	1879
379	1152	1880
380	1156	1879
381	1159	1875
382	1163	1874
383	1165	1870
384	1168	1866
385	1169	1860
386	1171	1856
387	1175	1853
388	1176	1848
389	1179	1844
390	1181	1839
391	1183	1835
392	1185	1831
393	1187	1827
394	1190	1823
395	1192	1818
396	1195	1816
397	1198	1812
398	1200	1808
399	1202	1804
400	1205	1800
401	1207	1796
402	1211	1794
403	1213	1790
404	1216	1786
405	1218	1782
406	1220	1778
407	1222	1774
408	1225	1770
409	1227	1766
410	1229	1762
411	1232	1758
412	1234	1754
413	1236	1750
414	1238	1746
415	1241	1742
416	1243	1738
417	1245	1734
418	1248	1730
419	1250	1726
420	1251	1721
421	1253	1716
422	1255	1712
423	1258	1709
424	1260	1705
425	1262	1701
426	1264	1697
427	1266	1693
428	1268	1687
429	1270	1683
430	1272	1680
431	1274	1676
432	1277	1672
433	1279	1668
434	1281	1664
435	1283	1660
436	1286	1656
437	1287	1651
438	1289	1647
439	1291	1643
440	1293	1640
441	1296	1636
442	1298	1632
443	1300	1628
444	1302	1624
445	1304	1620
446	1306	1616
447	1308	1612
448	1311	1608
449	1313	1604
450	1315	1601
451	1318	1598
452	1320	1595
453	1323	1591
454	1325	1587
455	1327	1583
456	1330	1580
457	1334	1579
458	1335	1574
459	1337	1570
460	1340	1566
461	1342	1562
462	1346	1561
463	1349	1559
464	1351	1554
465	1353	1551
466	1356	1547
467	1359	1545
468	1363	1543
469	1365	1540
470	1368	1536
471	1370	1532
472	1372	1529
473	1376	1526
474	1378	1523
475	1380	1519
476	1382	1516
477	1385	1512
478	1387	1509
479	1388	1504
480	1391	1501
481	1393	1498
482	1395	1493
483	1397	1489
484	1399	1485
485	1401	1482
486	1404	1479
487	1406	1476
488	1408	1471
489	1410	1468
490	1412	1464
491	1415	1461
492	1417	1457
493	1419	1454
494	1423	1452
495	1425	1448
496	1429	1446
497	1431	1443
498	1433	1439
499	1435	1435
500	1439	1433
501	1441	1429
502	1442	1425
503	1444	1421
504	1447	1418
505	1449	1415
506	1450	1410
507	1453	1407
508	1456	1405
509	1459	1401
510	1461	1398
511	1463	1395
512	1466	1391
513	1469	1389
514	1471	1385
515	1473	1382
516	1476	1379
517	1478	1375
518	1480	1372
519	1483	1369
520	1485	1366
521	1488	1362
522	1490	1359
523	1492	1355
524	1494	1352
525	1497	1349
526	1499	1345
527	1501	1342
528	1504	1339
529	1506	1335
530	1508	1332
531	1510	1328
532	1513	1325
533	1515	1322
534	1517	1319
535	1520	1316
536	1522	1312
537	1524	1309
538	1527	1306
539	1529	1302
540	1531	1299
541	1534	1296
542	1536	1293
543	1539	1290
544	1542	1287
545	1545	1284
546	1547	1281
547	1550	1278
548	1551	1274
549	1553	1270
550	1555	1267
551	1557	1264
552	1561	1262
553	1563	1258
554	1565	1255
555	1567	1251
556	1569	1248
557	1571	1245
558	1574	1241
559	1576	1238
560	1578	1235
561	1581	1232
562	1583	1229
563	1585	1225
564	1588	1222
565	1591	1219
566	1592	1216
567	1594	1213
568	1597	1209
569	1599	1206
570	1601	1203
571	1604	1200
572	1606	1197
573	1608	1194
574	1611	1190
575	1613	1187
576	1615	1184
577	1617	1181
578	1620	1178
579	1622	1174
580	1624	1171
581	1627	1168
582	1629	1165
583	1631	1162
584	1634	1159
585	1636	1156
586	1638	1152
587	1640	1149
588	1642	1146
589	1643	1142
590	1646	1139
591	1648	1135
592	1650	1132
593	1652	1129
594	1654	1126
595	1656	1123
596	1659	1120
597	1661	1116
598	1663	1113
599	1665	1110
600	1668	1107
601	1670	1104
602	1672	1101
603	1674	1098
604	1677	1095
605	1680	1092
606	1682	1089
607	1685	1086
608	1687	1083
609	1690	1080
610	1693	1078
611	1695	1074
612	1698	1072
613	1700	1069
614	1703	1066
615	1705	1063
616	1708	1060
617	1710	1057
618	1714	1055
619	1717	1052
620	1724	1052
621	1725	1048
622	1729	1046
623	1732	1044
624	1736	1041
625	1741	1040
626	1745	1038
627	1749	1036
628	1754	1034
629	1756	1031
630	1760	1029
631	1763	1027
632	1767	1024
633	1771	1022
634	1775	1020
635	1778	1017
636	1781	1015
637	1795	1018
638	1798	1015
639	1801	1013
640	1804	1010
641	1806	1007
642	1809	1004
643	1812	1002
644	1815	999
645	1818	996
646	1821	993
647	1824	990
648	1826	988
649	1829	985
650	1832	982
651	1836	980
652	1839	977
653	1843	975
654	1846	972
655	1850	970
656	1853	967
657	1856	964
658	1858	961
659	1863	960
660	1866	957
661	1868	954
662	1871	951
663	1873	948
664	1876	945
665	1882	943
666	1885	941
667	1887	938
668	1890	935
669	1895	933
670	1898	930
671	1901	928
672	1904	925
673	1909	923
674	1911	920
675	1914	917
676	1917	914
677	1919	911
678	1923	909
679	1926	906
680	1929	903
681	1932	900
682	1934	897
683	1950	900
684	1952	897
685	1956	895
686	1958	892
687	1960	889
688	1962	886
689	1965	882
690	1968	880
691	1970	877
692	1973	874
693	1975	871
694	1979	868
695	1981	865
696	1983	862
697	1986	859
698	1988	856
699	1991	853
700	1993	850
701	1996	847
702	1998	844
703	2001	841
704	2003	838
705	2006	835
706	2008	832
707	2010	829
708	2012	826
709	2015	823
710	2018	820
711	2020	817
712	2022	814
713	2024	811
714	2026	807
715	2029	805
716	2032	802
717	2035	799
718	2038	796
719	2040	793
720	2044	791
721	2047	788
722	2050	785
723	2053	782
724	2055	779
725	2058	776
726	2063	774
727	2066	771
728	2070	769
729	2073	767
730	2077	764
731	2079	761
732	2082	758
733	2085	755
734	2087	752
735	2091	750
736	2094	747
737	2097	744
738	2098	741
739	2100	738
740	2102	734
741	2106	732
742	2109	729
743	2111	726
744	2114	723
745	2116	720
746	2118	717
747	2121	714
748	2124	711
749	2126	708
750	2128	705
751	2130	702
752	2133	699
753	2135	696
754	2137	693
755	2140	690
756	2141	687
757	2143	684
758	2145	681
759	2147	678
760	2149	675
761	2151	672
762	2154	669
763	2156	666
764	2158	663
765	2161	660
766	2163	657
767	2165	654
768	2168	651
769	2170	648
770	2172	645
771	2174	642
772	2177	639
773	2179	636
774	2182	633
775	2184	630
776	2186	627
777	2189	624
778	2191	621
779	2193	618
780	2195	615
781	2198	612
782	2201	610
783	2204	607
784	2206	604
785	2208	601
786	2211	598
787	2214	595
788	2216	592
789	2219	589
790	2221	587
791	2224	584
792	2228	581
793	2229	578
794	2232	575
795	2235	572
796	2237	569
797	2239	566
798	2243	564
799	2245	561
800	2247	558
801	2248	555
802	2250	552
803	2252	549
804	2254	546
805	2257	543
806	2259	540
807	2261	537
808	2264	534
809	2267	531
810	2271	529
811	2273	526
812	2275	523
813	2278	520
814	2280	517
815	2282	514
816	2284	511
817	2287	508
818	2289	505
819	2291	503
820	2294	500
821	2296	497
822	2299	494
823	2301	491
824	2303	488
825	2306	485
826	2308	482
827	2310	480
828	2311	476
829	2314	474
830	2317	471
831	2318	468
832	2320	465
833	2323	462
834	2325	459
835	2326	456
836	2327	453
837	2330	450
838	2333	447
839	2335	444
840	2337	441
841	2340	439
842	2342	436
843	2351	434
844	2353	431
845	2355	428
846	2356	425
847	2358	422
848	2361	419
849	2364	417
850	2366	414
851	2368	411
852	2372	408
853	2374	405
854	2377	403
855	2380	400
856	2382	397
857	2385	394
858	2388	391
859	2390	389
860	2394	386
861	2396	383
862	2398	380
863	2400	377
864	2402	374
865	2404	372
866	2406	369
867	2409	366
868	2411	363
869	2413	360
870	2416	357
871	2418	354
872	2420	352
873	2423	349
874	2425	346
875	2428	343
876	2430	340
877	2432	338
878	2434	335
879	2437	332
880	2439	329
881	2441	326
882	2444	323
883	2446	321
884	2448	318
885	2451	315
886	2453	312
887	2454	309
888	2456	306
889	2459	303
890	2461	301
891	2462	298
892	2464	295
893	2467	292
894	2469	289
895	2472	286
896	2474	284
897	2476	281
898	2478	278
899	2480	275
900	2482	272
901	2485	270
902	2487	267
903	2489	264
904	2492	261
905	2494	258
906	2496	255
907	2498	253
908	2501	250
909	2503	247
910	2504	244
911	2506	241
912	2509	239
913	2511	236
914	2513	233
915	2516	230
916	2518	227
917	2520	225
918	2522	222
919	2525	219
920	2527	216
921	2529	214
922	2530	211
923	2533	208
924	2535	205
925	2537	202
926	2539	200
927	2542	197
928	2546	194
929	2548	191
930	2551	189
931	2554	186
932	2556	183
933	2559	180
934	2561	178
935	2563	175
936	2565	172
937	2567	169
938	2570	166
939	2572	164
940	2575	161
941	2577	158
942	2579	155
943	2582	153
944	2584	150
945	2586	147
946	2588	144
947	2591	142
948	2593	139
949	2596	136
950	2598	133
951	2600	131
952	2602	128
953	2605	125
954	2607	122
955	2610	120
956	2612	117
957	2615	114
958	2617	111
959	2620	109
960	2622	106
961	2625	103
962	2627	100
963	2628	98
964	2630	95
965	2633	92
966	2636	89
967	2639	87
968	2643	84
969	2646	81
970	2648	79
971	2652	76
972	2655	73
973	2659	70
974	2661	68
975	2664	65
976	2669	62
977	2672	60
978	2675	57
979	2678	54
980	2681	51
981	2684	49
982	2688	46
983	2691	43
984	2694	41
985	2698	38
986	2701	35
987	2704	32
988	2707	30
989	2710	27
990	2714	24
991	2717	21
992	2720	19
993	2722	16
994	2726	13
995	2728	10
996	2730	8
997	2733	5
998	2735	2
999	2738	0
